,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
181,0.448618501,0.103869066,0,0.344749435,2019,State,All,Age,state,99,Gujarat,NA,NA,NA,NA,NA,NA
182,0.454907954,0.209576651,0.066630028,0.245331303,2019,State,All,Age,state,99,Haryana,NA,NA,15 to 29,NA,NA,NA
183,0.273625582,0.091343567,0.02587278,0.182282015,2019,State,All,Age,state,99,Haryana,NA,NA,30 to 45,NA,NA,NA
184,0.224370763,0.050432567,0.005596388,0.173938196,2019,State,All,Age,state,99,Haryana,NA,NA,45 to 64,NA,NA,NA
185,0.22180903,0.052302819,0.009559592,0.169506211,2019,State,All,Age,state,99,Haryana,NA,NA,65+,NA,NA,NA
186,0.222192645,0.128989577,0,0.093203068,2019,State,All,Age,state,99,Haryana,NA,NA,NA,NA,NA,NA
187,0.3155604,0.165141046,0.045181621,0.150419354,2019,State,All,Age,state,99,Himachal Pradesh,NA,NA,15 to 29,NA,NA,NA
188,0.209319949,0.063503802,0.010248168,0.145816147,2019,State,All,Age,state,99,Himachal Pradesh,NA,NA,30 to 45,NA,NA,NA
189,0.22854048,0.0407557,0.002418412,0.18778478,2019,State,All,Age,state,99,Himachal Pradesh,NA,NA,45 to 64,NA,NA,NA
190,0.233058766,0.05007932,0.004350999,0.182979446,2019,State,All,Age,state,99,Himachal Pradesh,NA,NA,65+,NA,NA,NA
