,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
190,0.05007932,0.004350999,2019,5,State,All,Age,state,99,Himachal Pradesh,65+,NA,NA,NA,NA,NA
191,0.038529612,0,2019,5,State,All,Age,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
192,0.131519198,0.029510967,2019,5,State,All,Age,state,99,Jammu & Kashmir,15 to 29,NA,NA,NA,NA,NA
193,0.081277452,0.014219631,2019,5,State,All,Age,state,99,Jammu & Kashmir,30 to 45,NA,NA,NA,NA,NA
194,0.042947415,0.00622442,2019,5,State,All,Age,state,99,Jammu & Kashmir,46 to 64,NA,NA,NA,NA,NA
195,0.052403063,0.004900367,2019,5,State,All,Age,state,99,Jammu & Kashmir,65+,NA,NA,NA,NA,NA
196,0,0,2019,5,State,All,Age,state,99,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
197,0.471284449,0.174605727,2019,5,State,All,Age,state,99,Jharkhand,15 to 29,NA,NA,NA,NA,NA
198,0.331452727,0.11937993,2019,5,State,All,Age,state,99,Jharkhand,30 to 45,NA,NA,NA,NA,NA
199,0.257079393,0.058180708,2019,5,State,All,Age,state,99,Jharkhand,46 to 64,NA,NA,NA,NA,NA
200,0.261572033,0.047599155,2019,5,State,All,Age,state,99,Jharkhand,65+,NA,NA,NA,NA,NA
201,0.11249698,0.11249698,2019,5,State,All,Age,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
202,0.131995022,0.046455067,2019,5,State,All,Age,state,99,Karnataka,15 to 29,NA,NA,NA,NA,NA
203,0.089660391,0.01609675,2019,5,State,All,Age,state,99,Karnataka,30 to 45,NA,NA,NA,NA,NA
204,0.074870855,0.008392191,2019,5,State,All,Age,state,99,Karnataka,46 to 64,NA,NA,NA,NA,NA
205,0.090124816,0.01135167,2019,5,State,All,Age,state,99,Karnataka,65+,NA,NA,NA,NA,NA
206,0.098238394,0,2019,5,State,All,Age,state,99,Karnataka,NA,NA,NA,NA,NA,NA
207,0.048891392,0,2019,5,State,All,Age,state,99,Kerala,15 to 29,NA,NA,NA,NA,NA
208,0.012280969,0.000396283,2019,5,State,All,Age,state,99,Kerala,30 to 45,NA,NA,NA,NA,NA
209,0.006047463,0.000242552,2019,5,State,All,Age,state,99,Kerala,46 to 64,NA,NA,NA,NA,NA
210,0.008414205,0.00035302,2019,5,State,All,Age,state,99,Kerala,65+,NA,NA,NA,NA,NA
211,0,0,2019,5,State,All,Age,state,99,Kerala,NA,NA,NA,NA,NA,NA
212,0.037977509,0,2019,5,State,All,Age,state,99,Ladakh,15 to 29,NA,NA,NA,NA,NA
213,0.090920314,0.019418085,2019,5,State,All,Age,state,99,Ladakh,30 to 45,NA,NA,NA,NA,NA
214,0.035372254,0,2019,5,State,All,Age,state,99,Ladakh,46 to 64,NA,NA,NA,NA,NA
215,0.107722349,0.007502884,2019,5,State,All,Age,state,99,Ladakh,65+,NA,NA,NA,NA,NA
216,0,0,2019,5,State,All,Age,state,99,Ladakh,NA,NA,NA,NA,NA,NA
217,0.044996031,0,2019,5,State,All,Age,state,99,Lakshadweep,15 to 29,NA,NA,NA,NA,NA
218,0.002289338,0,2019,5,State,All,Age,state,99,Lakshadweep,30 to 45,NA,NA,NA,NA,NA
219,0.012106989,0,2019,5,State,All,Age,state,99,Lakshadweep,46 to 64,NA,NA,NA,NA,NA
220,0.004645097,0,2019,5,State,All,Age,state,99,Lakshadweep,65+,NA,NA,NA,NA,NA
221,0,0,2019,5,State,All,Age,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA
222,0.421037257,0.109802403,2019,5,State,All,Age,state,99,Madhya Pradesh,15 to 29,NA,NA,NA,NA,NA
223,0.247299805,0.069202125,2019,5,State,All,Age,state,99,Madhya Pradesh,30 to 45,NA,NA,NA,NA,NA
224,0.210962549,0.041403033,2019,5,State,All,Age,state,99,Madhya Pradesh,46 to 64,NA,NA,NA,NA,NA
225,0.214636758,0.029011501,2019,5,State,All,Age,state,99,Madhya Pradesh,65+,NA,NA,NA,NA,NA
226,0.253224403,0.137952805,2019,5,State,All,Age,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA
227,0.143273965,0.034238733,2019,5,State,All,Age,state,99,Maharashtra,15 to 29,NA,NA,NA,NA,NA
228,0.103339694,0.020069186,2019,5,State,All,Age,state,99,Maharashtra,30 to 45,NA,NA,NA,NA,NA
229,0.071953408,0.009536502,2019,5,State,All,Age,state,99,Maharashtra,46 to 64,NA,NA,NA,NA,NA
